,img_coding,num_stage,num_cell,start_cell_dim,parameter_num,train_time,test_time,total_time,mac
0,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1770478,213.0056619644165,0.7811830043792725,213.78684496879578,52.7 MMac
1,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,646158,125.83334445953369,0.7936246395111084,126.6269690990448,20.6 MMac
2,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1120650,125.5704402923584,0.6868526935577393,126.25729298591614,89.57 MMac
3,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,673316,96.98357582092285,0.5455882549285889,97.52916407585144,54.75 MMac
4,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,863784,118.25802326202393,0.6929643154144287,118.95098757743835,9.81 MMac
5,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,447407,66.93180799484253,0.6624577045440674,67.5942656993866,36.19 MMac
6,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,139354,64.2112135887146,0.6686506271362305,64.87986421585083,12.13 MMac
7,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1679432,178.839111328125,0.6850075721740723,179.52411890029907,132.5 MMac
8,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1443725,136.26809120178223,0.38774943351745605,136.65584063529968,41.44 MMac
9,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,49340,45.81491947174072,0.542900800704956,46.35782027244568,5.09 MMac
10,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,300349,46.69938087463379,0.5515801906585693,47.25096106529236,10.48 MMac
11,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2267152,263.6736273765564,1.003960371017456,264.67758774757385,66.86 MMac
12,"['rerp', 'trrp', 'trgas', 'gad', 'mk', 'ctwav']",2,2,90,1316208,146.7093586921692,0.5539698600769043,147.2633285522461,105.01 MMac
13,"['rp', 'trgad', 'mk', 'remk', 'ctwav']",2,1,77,590132,57.29653835296631,0.38860034942626953,57.68513870239258,47.16 MMac
14,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trmk']",3,2,33,826968,141.74456596374512,0.790459394454956,142.53502535820007,25.93 MMac
15,"['rerp', 'regas', 'trgas', 'regad', 'mk', 'remk', 'trmk']",3,2,13,144952,70.89066505432129,0.7521228790283203,71.64278793334961,5.18 MMac
16,"['rp', 'trrp', 'regad', 'remk', 'ctwav']",2,1,52,267791,29.69452142715454,0.3856947422027588,30.0802161693573,22.18 MMac
17,"['rerp', 'trrp', 'regas', 'trgas', 'trgad', 'remk', 'trmk']",2,1,75,568465,61.438918113708496,0.4023010730743408,61.84121918678284,46.82 MMac
18,"['rerp', 'trrp', 'gas', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",4,3,17,1306483,295.07782459259033,1.442547082901001,296.52037167549133,14.31 MMac
19,"['rerp', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",2,1,39,163314,29.647541046142578,0.38542723655700684,30.032968282699585,14.27 MMac
20,"['rp', 'rerp', 'trrp', 'trgas', 'remk', 'trmk', 'ctwav']",4,3,13,792854,192.85171031951904,1.261591911315918,194.11330223083496,8.73 MMac
21,"['gas', 'regas', 'gad', 'regad', 'trgad', 'mk']",3,2,54,2059806,221.65045738220215,0.7735366821289062,222.42399406433105,60.34 MMac
22,"['rp', 'rerp', 'gas', 'trgas', 'gad', 'mk', 'trmk', 'ctwav']",2,1,35,137119,32.014477252960205,0.4099750518798828,32.42445230484009,12.76 MMac
23,"['trrp', 'gas', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,1,48,234040,29.45009469985962,0.4054694175720215,29.85556411743164,20.36 MMac
24,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgas', 'regad', 'mk', 'remk']",2,1,68,464699,26.127684116363525,0.500699520111084,26.62838363647461,39.87 MMac
25,"['gad', 'trgad', 'trmk', 'ctwav']",4,2,27,2262530,252.47869491577148,0.9708616733551025,253.4495565891266,22.4 MMac
26,"['gas', 'regad', 'remk', 'trmk', 'ctwav']",2,1,81,650899,59.538912773132324,0.38584446907043457,59.92475724220276,51.83 MMac
27,"['rp', 'rerp', 'trrp', 'regas', 'trgas', 'gad', 'trgad', 'mk']",3,2,40,1140104,141.84696674346924,0.7816991806030273,142.62866592407227,35.06 MMac
28,"['rp', 'rerp', 'gas', 'regas', 'trgas', 'trgad', 'remk']",3,1,19,179339,46.31422758102417,0.5303874015808105,46.84461498260498,6.45 MMac
29,"['trrp', 'gas', 'regas', 'gad']",3,1,32,444668,45.394158363342285,0.5088913440704346,45.90304970741272,13.46 MMac
30,"['rp', 'rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'trgad', 'trmk', 'ctwav']",2,2,95,1514164,101.42769813537598,0.6518650054931641,102.07956314086914,123.73 MMac
31,"['rerp', 'regad', 'trgad', 'mk']",3,1,63,1755636,138.55258226394653,0.5326361656188965,139.08521842956543,50.07 MMac
32,"['rp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'remk', 'trmk', 'ctwav']",2,2,20,74314,32.72433280944824,0.6095361709594727,33.333868980407715,7.32 MMac
33,"['rerp', 'gas', 'regas', 'trgad', 'trmk', 'ctwav']",2,3,29,214150,68.14607381820679,0.772716760635376,68.91879057884216,18.24 MMac
34,"['rp', 'gas', 'trgas', 'regad']",2,3,93,2003354,203.0368208885193,0.680164098739624,203.7169849872589,157.69 MMac
35,"['rerp', 'trrp', 'gas', 'regas', 'regad', 'mk', 'trmk', 'ctwav']",2,2,58,560660,98.68104457855225,0.5698416233062744,99.25088620185852,46.9 MMac
36,"['rp', 'trgas', 'gad', 'trgad', 'remk']",3,1,15,114832,45.12276649475098,0.5238587856292725,45.64662528038025,4.04 MMac
37,"['rp', 'trrp', 'gas', 'trgas', 'trgad', 'mk']",2,3,36,305365,65.98284244537354,0.6698668003082275,66.65270924568176,25.58 MMac
38,"['rerp', 'gas', 'gad', 'mk', 'remk']",3,2,45,1496268,218.92229318618774,0.7672836780548096,219.68957686424255,43.83 MMac
39,"['rerp', 'trrp']",3,2,23,409744,72.93717861175537,0.7322549819946289,73.66943359375,11.93 MMac
40,"['rp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,3,67,1078705,91.94324016571045,0.8411827087402344,92.78442287445068,89.81 MMac
41,"['rp', 'trrp', 'regas', 'regad', 'remk', 'ctwav']",3,2,32,730772,144.28658485412598,0.7627031803131104,145.0492880344391,22.38 MMac
42,"['rerp', 'trrp', 'trgas', 'trgad', 'remk', 'trmk']",2,3,94,2012566,203.67847681045532,0.7702739238739014,204.44875073432922,160.05 MMac
43,"['rp', 'gas', 'regas', 'gad', 'regad', 'mk', 'ctwav']",3,2,53,2062452,185.40451526641846,0.7833034992218018,186.18781876564026,61.02 MMac
44,"['rp', 'gad', 'trmk']",2,2,81,1083510,98.22430610656738,0.5112259387969971,98.73553204536438,84.74 MMac
45,"['rerp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",3,3,19,402009,88.82189989089966,1.0613980293273926,89.88329792022705,12.9 MMac
46,"['rp', 'trrp', 'gad', 'regad', 'trgad', 'mk', 'trmk']",2,3,48,537952,130.29742240905762,0.6959772109985352,130.99339962005615,44.57 MMac
47,"['rp', 'gas', 'regad', 'trgad', 'remk', 'trmk']",4,1,27,1392549,190.28445482254028,0.6804258823394775,190.96488070487976,14.79 MMac
48,"['rerp', 'trrp', 'regas', 'trgas', 'gad', 'mk', 'ctwav']",2,3,68,1065377,135.2078676223755,0.7966415882110596,136.00450921058655,86.39 MMac
49,"['rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'trmk']",4,1,14,353346,62.10951805114746,0.6750648021697998,62.78458285331726,4.47 MMac
50,"['rerp', 'trgas', 'regad', 'mk', 'remk', 'trmk']",2,2,35,219478,49.33300018310547,0.5327808856964111,49.86578106880188,18.72 MMac
51,"['rp', 'rerp', 'regad', 'mk', 'ctwav']",3,1,44,836917,91.19396209716797,0.5127613544464111,91.70672345161438,25.03 MMac
52,"['regas', 'trgas', 'trgad', 'mk', 'trmk']",2,2,66,711714,99.85842704772949,0.5400545597076416,100.39848160743713,57.21 MMac
53,"['rp', 'rerp', 'trrp', 'gas', 'gad', 'regad', 'remk', 'ctwav']",3,3,22,485790,89.27562236785889,1.1182546615600586,90.39387702941895,15.64 MMac
54,"['gas', 'trgas', 'regad', 'trgad', 'ctwav']",3,2,15,186428,72.72989749908447,0.7640390396118164,73.49393653869629,6.13 MMac
55,"['rp', 'rerp', 'trrp', 'regas', 'gad', 'mk', 'remk', 'trmk']",2,1,59,362449,30.64063787460327,0.4222073554992676,31.06284523010254,31.13 MMac
56,"['trrp', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",3,1,36,568219,92.18049049377441,0.5460262298583984,92.72651672363281,18.58 MMac
57,"['rp', 'rerp', 'regas', 'gad', 'regad', 'trgad', 'remk', 'trmk']",2,1,28,85817,31.210970878601074,0.41222286224365234,31.623193740844727,8.39 MMac
58,"['trgas', 'gad', 'remk', 'ctwav']",2,1,93,846450,59.32176113128662,0.3829216957092285,59.70468282699585,65.96 MMac
59,"['trrp', 'regas', 'trgas', 'regad', 'trmk']",2,1,20,43479,31.174159049987793,0.3781445026397705,31.552303552627563,4.14 MMac
60,"['rp', 'trrp', 'gas', 'regas', 'trgas', 'trgad', 'mk']",2,1,16,30400,31.18269443511963,0.4080498218536377,31.590744256973267,3.28 MMac
61,"['rerp', 'gas', 'regas', 'gad', 'mk', 'remk']",2,1,25,72251,31.7163348197937,0.40228772163391113,32.11862254142761,6.78 MMac
62,"['rp', 'gas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,1,87,769366,48.05173873901367,0.4682490825653076,48.51998782157898,64.76 MMac
