,img_coding,num_stage,num_cell,start_cell_dim,parameter_num,train_time,test_time,total_time,mac
0,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1771882,212.9074215888977,0.9503958225250244,213.85781741142273,52.7 MMac
1,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,647002,133.99555683135986,0.9121134281158447,134.9076702594757,20.6 MMac
2,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1121494,124.86231327056885,0.6944975852966309,125.55681085586548,89.57 MMac
3,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,674088,88.06524276733398,0.7018680572509766,88.76711082458496,54.75 MMac
4,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,865108,113.43011856079102,0.8068225383758545,114.23694109916687,9.81 MMac
5,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,447939,60.13885736465454,0.7476077079772949,60.886465072631836,36.19 MMac
6,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,139646,60.64077615737915,0.7229223251342773,61.36369848251343,12.13 MMac
7,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1680468,173.35034608840942,0.6644666194915771,174.014812707901,132.5 MMac
8,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1445353,131.42273426055908,0.5200304985046387,131.94276475906372,41.44 MMac
9,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,49536,50.27613639831543,0.7500042915344238,51.02614068984985,5.09 MMac
10,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,301081,41.10192060470581,0.5285532474517822,41.63047385215759,10.48 MMac
11,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2268500,253.33331823349,1.0473833084106445,254.38070154190063,66.86 MMac
12,"['rerp', 'trrp', 'trgas', 'gad', 'mk', 'ctwav']",2,2,90,1317292,134.00208950042725,0.5258290767669678,134.5279185771942,105.01 MMac
13,"['rp', 'trgad', 'mk', 'remk', 'ctwav']",2,1,77,591072,60.00714302062988,0.39037179946899414,60.39751482009888,47.16 MMac
14,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trmk']",3,2,33,827924,142.20702648162842,0.8204152584075928,143.027441740036,25.93 MMac
15,"['rerp', 'regas', 'trgas', 'regad', 'mk', 'remk', 'trmk']",3,2,13,145348,64.8258924484253,0.8577711582183838,65.68366360664368,5.18 MMac
16,"['rp', 'trrp', 'regad', 'remk', 'ctwav']",2,1,52,268419,29.667985439300537,0.44558215141296387,30.1135675907135,22.18 MMac
17,"['rerp', 'trrp', 'regas', 'trgas', 'trgad', 'remk', 'trmk']",2,1,75,569381,61.87324523925781,0.5236883163452148,62.39693355560303,46.82 MMac
18,"['rerp', 'trrp', 'gas', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",4,3,17,1307567,302.5699853897095,1.568183183670044,304.1381685733795,14.31 MMac
19,"['rerp', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",2,1,39,163798,30.700314044952393,0.4806239604949951,31.180938005447388,14.27 MMac
20,"['rp', 'rerp', 'trrp', 'trgas', 'remk', 'trmk', 'ctwav']",4,3,13,793698,190.41132926940918,1.3359932899475098,191.7473225593567,8.73 MMac
21,"['gas', 'regas', 'gad', 'regad', 'trgad', 'mk']",3,2,54,2061322,151.3731837272644,0.6894621849060059,152.0626459121704,60.34 MMac
22,"['rp', 'rerp', 'gas', 'trgas', 'gad', 'mk', 'trmk', 'ctwav']",2,1,35,137555,28.163492679595947,0.3704957962036133,28.53398847579956,12.76 MMac
23,"['trrp', 'gas', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,1,48,234620,26.782846450805664,0.36099982261657715,27.14384627342224,20.36 MMac
24,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgas', 'regad', 'mk', 'remk']",2,1,68,465519,18.898236751556396,0.5395162105560303,19.437752962112427,39.87 MMac
25,"['gad', 'trgad', 'trmk', 'ctwav']",4,2,27,2264214,222.10285663604736,0.9086992740631104,223.01155591011047,22.4 MMac
26,"['gas', 'regad', 'remk', 'trmk', 'ctwav']",2,1,81,651887,45.38075923919678,0.3417811393737793,45.72254037857056,51.83 MMac
27,"['rp', 'rerp', 'trrp', 'regas', 'trgas', 'gad', 'trgad', 'mk']",3,2,40,1141228,125.81408023834229,0.6885695457458496,126.50264978408813,35.06 MMac
28,"['rp', 'rerp', 'gas', 'regas', 'trgas', 'trgad', 'remk']",3,1,19,179903,43.869733810424805,0.5902249813079834,44.45995879173279,6.46 MMac
29,"['trrp', 'gas', 'regas', 'gad']",3,1,32,445568,43.71511936187744,0.6067652702331543,44.321884632110596,13.46 MMac
30,"['rp', 'rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'trgad', 'trmk', 'ctwav']",2,2,95,1515320,133.66506099700928,0.5168976783752441,134.18195867538452,123.73 MMac
31,"['rerp', 'regad', 'trgad', 'mk']",3,1,63,1757432,114.48619365692139,0.5807511806488037,115.06694483757019,50.07 MMac
