,img_coding,num_stage,num_cell,start_cell_dim,parameter_num,train_time,test_time,total_time,mac
0,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1771882,211.7491364479065,0.8801174163818359,212.62925386428833,52.7 MMac
1,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,647002,137.09206581115723,0.9469177722930908,138.03898358345032,20.6 MMac
2,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1121494,99.15306568145752,0.8552834987640381,100.00834918022156,89.57 MMac
3,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,674088,66.6813611984253,0.624671459197998,67.30603265762329,54.75 MMac
4,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,865108,111.4971399307251,0.9588136672973633,112.45595359802246,9.81 MMac
5,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,447939,55.78346252441406,0.5810282230377197,56.36449074745178,36.19 MMac
6,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,139646,62.84770965576172,0.7597265243530273,63.607436180114746,12.13 MMac
7,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1680468,173.39251041412354,0.7788376808166504,174.17134809494019,132.5 MMac
8,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1445353,132.40066766738892,0.6620354652404785,133.0627031326294,41.44 MMac
9,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,49536,33.87444019317627,0.585263729095459,34.45970392227173,5.09 MMac
10,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,301081,43.19947957992554,0.6674156188964844,43.86689519882202,10.48 MMac
11,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2268500,183.87393951416016,0.8877196311950684,184.76165914535522,66.86 MMac
12,"['rerp', 'trrp', 'trgas', 'gad', 'mk', 'ctwav']",2,2,90,1317292,90.36619663238525,0.6752963066101074,91.04149293899536,105.01 MMac
13,"['rp', 'trgad', 'mk', 'remk', 'ctwav']",2,1,77,591072,59.520936012268066,0.4981706142425537,60.01910662651062,47.16 MMac
14,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trmk']",3,2,33,827924,139.0803575515747,1.0937762260437012,140.1741337776184,25.93 MMac
