,img_coding,num_stage,num_cell,start_cell_dim,parameter_num,train_time,test_time,total_time,mac
0,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1771882,184.29003953933716,0.8114588260650635,185.10149836540222,52.7 MMac
1,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,647002,120.10250091552734,0.90682053565979,121.00932145118713,20.6 MMac
2,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1121494,123.80859851837158,0.8211092948913574,124.62970781326294,89.57 MMac
3,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,674088,93.37637424468994,0.6093575954437256,93.98573184013367,54.75 MMac
4,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,865108,108.77289772033691,0.7848930358886719,109.55779075622559,9.81 MMac
5,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,447939,58.507347106933594,0.6432404518127441,59.15058755874634,36.19 MMac
6,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,139646,63.64065408706665,0.9309365749359131,64.57159066200256,12.13 MMac
7,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1680468,140.94486236572266,0.6533410549163818,141.59820342063904,132.5 MMac
8,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1445353,124.74371194839478,0.600064754486084,125.34377670288086,41.44 MMac
9,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,49536,52.13078260421753,0.7384166717529297,52.86919927597046,5.09 MMac
10,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,301081,44.51892375946045,0.5873162746429443,45.106240034103394,10.48 MMac
11,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2268500,229.4712781906128,1.2154123783111572,230.68669056892395,66.86 MMac
12,"['rerp', 'trrp', 'trgas', 'gad', 'mk', 'ctwav']",2,2,90,1317292,139.30063247680664,0.6637697219848633,139.9644021987915,105.01 MMac
13,"['rp', 'trgad', 'mk', 'remk', 'ctwav']",2,1,77,591072,59.67397689819336,0.4851539134979248,60.159130811691284,47.16 MMac
14,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trmk']",3,2,33,827924,139.98630046844482,0.9559884071350098,140.94228887557983,25.93 MMac
15,"['rerp', 'regas', 'trgas', 'regad', 'mk', 'remk', 'trmk']",3,2,13,145348,62.619078159332275,0.9332485198974609,63.552326679229736,5.18 MMac
16,"['rp', 'trrp', 'regad', 'remk', 'ctwav']",2,1,52,268419,31.522655487060547,0.41939377784729004,31.942049264907837,22.18 MMac
17,"['rerp', 'trrp', 'regas', 'trgas', 'trgad', 'remk', 'trmk']",2,1,75,569381,56.014323234558105,0.38027286529541016,56.394596099853516,46.82 MMac
18,"['rerp', 'trrp', 'gas', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",4,3,17,1307567,294.5164918899536,2.074068307876587,296.5905601978302,14.31 MMac
19,"['rerp', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",2,1,39,163798,29.584944248199463,0.526479959487915,30.111424207687378,14.27 MMac
20,"['rp', 'rerp', 'trrp', 'trgas', 'remk', 'trmk', 'ctwav']",4,3,13,793698,186.10727787017822,1.287285327911377,187.3945631980896,8.73 MMac
21,"['gas', 'regas', 'gad', 'regad', 'trgad', 'mk']",3,2,54,2061322,189.1721248626709,0.7529492378234863,189.92507410049438,60.34 MMac
22,"['rp', 'rerp', 'gas', 'trgas', 'gad', 'mk', 'trmk', 'ctwav']",2,1,35,137555,24.825716018676758,0.3452646732330322,25.17098069190979,12.76 MMac
23,"['trrp', 'gas', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,1,48,234620,31.1149001121521,0.5037033557891846,31.618603467941284,20.36 MMac
24,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgas', 'regad', 'mk', 'remk']",2,1,68,465519,17.925333976745605,0.41805434226989746,18.343388319015503,39.87 MMac
25,"['gad', 'trgad', 'trmk', 'ctwav']",4,2,27,2264214,210.5299472808838,1.1481471061706543,211.67809438705444,22.4 MMac
26,"['gas', 'regad', 'remk', 'trmk', 'ctwav']",2,1,81,651887,60.880470275878906,0.363100528717041,61.24357080459595,51.83 MMac
