,img_coding,num_stage,num_cell,start_cell_dim,parameter_num,train_time,test_time,total_time,mac
0,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1771882,188.84968757629395,0.5010828971862793,189.35077047348022,52.7 MMac
1,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,647002,112.22155094146729,0.7502012252807617,112.97175216674805,20.6 MMac
2,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1121494,123.28267097473145,0.7709581851959229,124.05362915992737,89.57 MMac
3,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,674088,92.65532493591309,0.6351003646850586,93.29042530059814,54.75 MMac
4,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,865108,118.7758207321167,0.8171842098236084,119.59300494194031,9.81 MMac
5,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,447939,62.01568841934204,0.7496442794799805,62.76533269882202,36.19 MMac
6,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,139646,61.65580749511719,0.6983704566955566,62.354177951812744,12.13 MMac
7,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1680468,184.4681739807129,0.7817401885986328,185.24991416931152,132.5 MMac
8,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1445353,133.94826650619507,0.631629228591919,134.579895734787,41.44 MMac
9,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,49536,32.198238372802734,0.8411850929260254,33.03942346572876,5.09 MMac
10,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,301081,40.494418144226074,0.4927642345428467,40.98718237876892,10.48 MMac
11,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2268500,209.2979907989502,1.0240933895111084,210.3220841884613,66.86 MMac
12,"['rerp', 'trrp', 'trgas', 'gad', 'mk', 'ctwav']",2,2,90,1317292,125.16031265258789,0.4860506057739258,125.64636325836182,105.01 MMac
13,"['rp', 'trgad', 'mk', 'remk', 'ctwav']",2,1,77,591072,46.315836906433105,0.33901357650756836,46.654850482940674,47.16 MMac
14,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trmk']",3,2,33,827924,112.4098539352417,0.7742264270782471,113.18408036231995,25.93 MMac
15,"['rerp', 'regas', 'trgas', 'regad', 'mk', 'remk', 'trmk']",3,2,13,145348,62.03104257583618,0.6728317737579346,62.703874349594116,5.18 MMac
16,"['rp', 'trrp', 'regad', 'remk', 'ctwav']",2,1,52,268419,28.58595848083496,0.462083101272583,29.048041582107544,22.18 MMac
17,"['rerp', 'trrp', 'regas', 'trgas', 'trgad', 'remk', 'trmk']",2,1,75,569381,58.670926094055176,0.5027377605438232,59.173663854599,46.82 MMac
18,"['rerp', 'trrp', 'gas', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",4,3,17,1307567,286.0818028450012,1.6654706001281738,287.7472734451294,14.31 MMac
19,"['rerp', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",2,1,39,163798,24.62695837020874,0.3414897918701172,24.968448162078857,14.27 MMac
20,"['rp', 'rerp', 'trrp', 'trgas', 'remk', 'trmk', 'ctwav']",4,3,13,793698,173.88885021209717,1.4022979736328125,175.29114818572998,8.73 MMac
21,"['gas', 'regas', 'gad', 'regad', 'trgad', 'mk']",3,2,54,2061322,191.79296493530273,0.9016640186309814,192.69462895393372,60.34 MMac
22,"['rp', 'rerp', 'gas', 'trgas', 'gad', 'mk', 'trmk', 'ctwav']",2,1,35,137555,26.503634452819824,0.32224607467651367,26.825880527496338,12.76 MMac
23,"['trrp', 'gas', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,1,48,234620,26.909124851226807,0.4917926788330078,27.400917530059814,20.36 MMac
24,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgas', 'regad', 'mk', 'remk']",2,1,68,465519,22.446227073669434,0.3863968849182129,22.832623958587646,39.87 MMac
25,"['gad', 'trgad', 'trmk', 'ctwav']",4,2,27,2264214,214.05876874923706,0.8616206645965576,214.92038941383362,22.4 MMac
26,"['gas', 'regad', 'remk', 'trmk', 'ctwav']",2,1,81,651887,51.99093818664551,0.3519611358642578,52.342899322509766,51.83 MMac
27,"['rp', 'rerp', 'trrp', 'regas', 'trgas', 'gad', 'trgad', 'mk']",3,2,40,1141228,130.88300228118896,0.9127752780914307,131.7957775592804,35.06 MMac
