,img_coding,num_stage,num_cell,start_cell_dim,parameter_num,train_time,test_time,total_time,mac
0,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1769776,220.56866884231567,1.4524950981140137,222.0211639404297,52.7 MMac
1,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,645736,147.56791591644287,1.5339953899383545,149.10191130638123,20.59 MMac
2,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1120228,144.08011436462402,1.4197490215301514,145.49986338615417,89.57 MMac
3,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,672930,86.95740699768066,0.646061897277832,87.6034688949585,54.74 MMac
4,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,863122,110.3888988494873,0.9403800964355469,111.32927894592285,9.81 MMac
5,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,447141,60.29402017593384,1.1056110858917236,61.39963126182556,36.19 MMac
6,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,139208,60.55443286895752,0.9682586193084717,61.52269148826599,12.13 MMac
7,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1678914,179.8263430595398,1.3448460102081299,181.17118906974792,132.5 MMac
8,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1442911,136.82105541229248,1.0034053325653076,137.8244607448578,41.44 MMac
9,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,49242,41.58958196640015,1.584808588027954,43.1743905544281,5.09 MMac
10,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,299983,48.093974590301514,1.0602240562438965,49.15419864654541,10.48 MMac
11,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2266478,265.5547857284546,1.8143799304962158,267.3691656589508,66.86 MMac
12,"['rerp', 'trrp', 'trgas', 'gad', 'mk', 'ctwav']",2,2,90,1315666,165.16402959823608,1.2136352062225342,166.37766480445862,105.01 MMac
13,"['rp', 'trgad', 'mk', 'remk', 'ctwav']",2,1,77,589662,65.6461238861084,0.6935112476348877,66.33963513374329,47.16 MMac
14,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trmk']",3,2,33,826490,144.03722286224365,1.2323458194732666,145.26956868171692,25.92 MMac
15,"['rerp', 'regas', 'trgas', 'regad', 'mk', 'remk', 'trmk']",3,2,13,144754,69.40138339996338,1.5794358253479004,70.98081922531128,5.18 MMac
16,"['rp', 'trrp', 'regad', 'remk', 'ctwav']",2,1,52,267477,33.38712453842163,0.8556561470031738,34.242780685424805,22.18 MMac
17,"['rerp', 'trrp', 'regas', 'trgas', 'trgad', 'remk', 'trmk']",2,1,75,568007,60.70523262023926,0.6681945323944092,61.37342715263367,46.82 MMac
18,"['rerp', 'trrp', 'gas', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",4,3,17,1305941,291.9176459312439,2.2911510467529297,294.2087969779968,14.31 MMac
19,"['rerp', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",2,1,39,163072,31.80292844772339,0.48541736602783203,32.28834581375122,14.27 MMac
20,"['rp', 'rerp', 'trrp', 'trgas', 'remk', 'trmk', 'ctwav']",4,3,13,792432,205.05130290985107,2.3482961654663086,207.39959907531738,8.73 MMac
21,"['gas', 'regas', 'gad', 'regad', 'trgad', 'mk']",3,2,54,2059048,226.19272470474243,1.656076431274414,227.84880113601685,60.34 MMac
