,img_coding,num_stage,num_cell,start_cell_dim,parameter_num,train_time,test_time,total_time,mac
0,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1770829,58.944153785705566,0.025878429412841797,58.97003221511841,52.7 MMac
1,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,646369,15.939807891845703,0.022997617721557617,15.96280550956726,20.6 MMac
2,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1120861,17.18919277191162,0.018172264099121094,17.207365036010742,89.57 MMac
3,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,673509,16.022276878356934,0.01777338981628418,16.040050268173218,54.75 MMac
4,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,864115,20.64056396484375,0.021819353103637695,20.662383317947388,9.81 MMac
5,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,447540,11.525774002075195,0.021365880966186523,11.547139883041382,36.19 MMac
6,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,139427,11.8965744972229,0.02364063262939453,11.920215129852295,12.13 MMac
7,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1679691,39.65141773223877,0.024341821670532227,39.6757595539093,132.5 MMac
8,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1444132,23.600006103515625,0.016076326370239258,23.616082429885864,41.44 MMac
9,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,49389,6.929659843444824,0.0188291072845459,6.94848895072937,5.09 MMac
10,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,300532,6.070423126220703,0.01585984230041504,6.086282968521118,10.48 MMac
11,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2267489,41.77976846694946,0.04170727729797363,41.82147574424744,66.86 MMac
12,"['rerp', 'trrp', 'trgas', 'gad', 'mk', 'ctwav']",2,2,90,1316479,19.745242595672607,0.01601409912109375,19.7612566947937,105.01 MMac
13,"['rp', 'trgad', 'mk', 'remk', 'ctwav']",2,1,77,590367,9.801101684570312,0.012169837951660156,9.813271522521973,47.16 MMac
14,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trmk']",3,2,33,827207,27.632498741149902,0.029378175735473633,27.661876916885376,25.93 MMac
15,"['rerp', 'regas', 'trgas', 'regad', 'mk', 'remk', 'trmk']",3,2,13,145051,12.960946559906006,0.023785829544067383,12.984732389450073,5.18 MMac
16,"['rp', 'trrp', 'regad', 'remk', 'ctwav']",2,1,52,267948,4.942142963409424,0.012674093246459961,4.954817056655884,22.18 MMac
17,"['rerp', 'trrp', 'regas', 'trgas', 'trgad', 'remk', 'trmk']",2,1,75,568694,11.19837760925293,0.013630390167236328,11.212007999420166,46.82 MMac
18,"['rerp', 'trrp', 'gas', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",4,3,17,1306754,97.93535470962524,0.07521414756774902,98.010568857193,14.31 MMac
19,"['rerp', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",2,1,39,163435,4.685628414154053,0.014813899993896484,4.700442314147949,14.27 MMac
20,"['rp', 'rerp', 'trrp', 'trgas', 'remk', 'trmk', 'ctwav']",4,3,13,793065,41.69967174530029,0.04155445098876953,41.74122619628906,8.73 MMac
21,"['gas', 'regas', 'gad', 'regad', 'trgad', 'mk']",3,2,54,2060185,34.81450080871582,0.02644062042236328,34.840941429138184,60.34 MMac
22,"['rp', 'rerp', 'gas', 'trgas', 'gad', 'mk', 'trmk', 'ctwav']",2,1,35,137228,5.074512958526611,0.01461338996887207,5.089126348495483,12.76 MMac
23,"['trrp', 'gas', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,1,48,234185,5.208373069763184,0.013343572616577148,5.221716642379761,20.36 MMac
