,img_coding,num_stage,num_cell,start_cell_dim,parameter_num,train_time,test_time,total_time,mac
0,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1769776,59.300386905670166,0.024178266525268555,59.324565172195435,52.7 MMac
1,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,645736,16.513943672180176,0.02124643325805664,16.535190105438232,20.59 MMac
2,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1120228,18.485713005065918,0.019774198532104492,18.505487203598022,89.57 MMac
3,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,672930,15.338325500488281,0.016278505325317383,15.354604005813599,54.74 MMac
4,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,863122,19.294023513793945,0.02115345001220703,19.315176963806152,9.81 MMac
5,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,447141,10.90930700302124,0.020719528198242188,10.930026531219482,36.19 MMac
6,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,139208,10.786747932434082,0.019201993942260742,10.805949926376343,12.13 MMac
7,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1678914,28.412675857543945,0.018102645874023438,28.43077850341797,132.5 MMac
8,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1442911,22.09761142730713,0.014608144760131836,22.11221957206726,41.44 MMac
9,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,49242,6.633472442626953,0.01763772964477539,6.6511101722717285,5.09 MMac
10,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,299983,5.728638172149658,0.014445781707763672,5.743083953857422,10.48 MMac
11,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2266478,36.09945774078369,0.02676868438720703,36.1262264251709,66.86 MMac
12,"['rerp', 'trrp', 'trgas', 'gad', 'mk', 'ctwav']",2,2,90,1315666,19.518756866455078,0.014458417892456055,19.533215284347534,105.01 MMac
