,img_coding,num_stage,num_cell,start_cell_dim,parameter_num,train_time,test_time,total_time,mac
0,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1769776,174.26859140396118,0.7474234104156494,175.01601481437683,52.7 MMac
1,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,645736,43.5591459274292,0.7746803760528564,44.333826303482056,20.59 MMac
2,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1120228,38.121843338012695,0.5379879474639893,38.659831285476685,89.57 MMac
3,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,672930,23.685526847839355,0.4168365001678467,24.102363348007202,54.74 MMac
4,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,863122,36.342430114746094,0.5821571350097656,36.92458724975586,9.81 MMac
5,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,447141,19.30825710296631,0.6702263355255127,19.97848343849182,36.19 MMac
6,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,139208,18.924260139465332,0.6209959983825684,19.5452561378479,12.13 MMac
7,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1678914,62.08491325378418,0.6144521236419678,62.69936537742615,132.5 MMac
8,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1442911,40.77494144439697,0.5378425121307373,41.31278395652771,41.44 MMac
9,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,49242,12.986183166503906,0.615471601486206,13.601654767990112,5.09 MMac
10,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,299983,13.428592681884766,0.45294809341430664,13.881540775299072,10.48 MMac
11,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2266478,83.08779001235962,0.8562173843383789,83.944007396698,66.86 MMac
12,"['rerp', 'trrp', 'trgas', 'gad', 'mk', 'ctwav']",2,2,90,1315666,37.74787187576294,0.41265201568603516,38.160523891448975,105.01 MMac
13,"['rp', 'trgad', 'mk', 'remk', 'ctwav']",2,1,77,589662,16.2386417388916,0.32247304916381836,16.56111478805542,47.16 MMac
14,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trmk']",3,2,33,826490,41.62619113922119,0.7604122161865234,42.386603355407715,25.92 MMac
15,"['rerp', 'regas', 'trgas', 'regad', 'mk', 'remk', 'trmk']",3,2,13,144754,21.755337715148926,0.717886209487915,22.47322392463684,5.18 MMac
16,"['rp', 'trrp', 'regad', 'remk', 'ctwav']",2,1,52,267477,10.197782516479492,0.4141578674316406,10.611940383911133,22.18 MMac
17,"['rerp', 'trrp', 'regas', 'trgas', 'trgad', 'remk', 'trmk']",2,1,75,568007,18.472957611083984,0.4130535125732422,18.886011123657227,46.82 MMac
18,"['rerp', 'trrp', 'gas', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",4,3,17,1305941,101.99661254882812,1.3461248874664307,103.34273743629456,14.31 MMac
19,"['rerp', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",2,1,39,163072,8.05586576461792,0.2882392406463623,8.344105005264282,14.27 MMac
20,"['rp', 'rerp', 'trrp', 'trgas', 'remk', 'trmk', 'ctwav']",4,3,13,792432,62.67585754394531,0.9945876598358154,63.67044520378113,8.73 MMac
21,"['gas', 'regas', 'gad', 'regad', 'trgad', 'mk']",3,2,54,2059048,57.86951780319214,0.6009502410888672,58.470468044281006,60.34 MMac
22,"['rp', 'rerp', 'gas', 'trgas', 'gad', 'mk', 'trmk', 'ctwav']",2,1,35,136901,8.90742540359497,0.3099405765533447,9.217365980148315,12.76 MMac
23,"['trrp', 'gas', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,1,48,233750,8.157598972320557,0.30680322647094727,8.464402198791504,20.36 MMac
24,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgas', 'regad', 'mk', 'remk']",2,1,68,464289,6.830966472625732,0.3646378517150879,7.19560432434082,39.87 MMac
25,"['gad', 'trgad', 'trmk', 'ctwav']",4,2,27,2261688,66.70571565628052,0.7899162769317627,67.49563193321228,22.4 MMac
26,"['gas', 'regad', 'remk', 'trmk', 'ctwav']",2,1,81,650405,15.938138961791992,0.31009483337402344,16.248233795166016,51.83 MMac
27,"['rp', 'rerp', 'trrp', 'regas', 'trgas', 'gad', 'trgad', 'mk']",3,2,40,1139542,39.30461406707764,0.7511050701141357,40.05571913719177,35.06 MMac
28,"['rp', 'rerp', 'gas', 'regas', 'trgas', 'trgad', 'remk']",3,1,19,179057,13.045382499694824,0.5400972366333008,13.585479736328125,6.45 MMac
29,"['trrp', 'gas', 'regas', 'gad']",3,1,32,444218,13.252174854278564,0.4986758232116699,13.750850677490234,13.46 MMac
30,"['rp', 'rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'trgad', 'trmk', 'ctwav']",2,2,95,1513586,32.610905170440674,0.647590160369873,33.25849533081055,123.73 MMac
31,"['rerp', 'regad', 'trgad', 'mk']",3,1,63,1754738,40.91784954071045,0.43866395950317383,41.35651350021362,50.07 MMac
32,"['rp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'remk', 'trmk', 'ctwav']",2,2,20,74192,10.795295238494873,0.5111925601959229,11.306487798690796,7.32 MMac
33,"['rerp', 'gas', 'regas', 'trgad', 'trmk', 'ctwav']",2,3,29,213968,14.94530439376831,0.5624146461486816,15.507719039916992,18.24 MMac
34,"['rp', 'gas', 'trgas', 'regad']",2,3,93,2002788,55.19653558731079,0.6312994956970215,55.82783508300781,157.69 MMac
35,"['rerp', 'trrp', 'gas', 'regas', 'regad', 'mk', 'trmk', 'ctwav']",2,2,58,560310,30.06737232208252,0.5619196891784668,30.629292011260986,46.9 MMac
36,"['rp', 'trgas', 'gad', 'trgad', 'remk']",3,1,15,114606,14.004027843475342,0.5039405822753906,14.507968425750732,4.04 MMac
37,"['rp', 'trrp', 'gas', 'trgas', 'trgad', 'mk']",2,3,36,305147,20.464515686035156,0.6358611583709717,21.100376844406128,25.58 MMac
38,"['rerp', 'gas', 'gad', 'mk', 'remk']",3,2,45,1495622,45.34024000167847,0.4044837951660156,45.74472379684448,43.83 MMac
39,"['rerp', 'trrp']",3,2,23,409406,17.34851598739624,0.4024658203125,17.75098180770874,11.93 MMac
40,"['rp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,3,67,1078295,25.97818374633789,0.8649957180023193,26.84317946434021,89.81 MMac
41,"['rp', 'trrp', 'regas', 'regad', 'remk', 'ctwav']",3,2,32,730322,38.265204429626465,0.7230525016784668,38.98825693130493,22.38 MMac
42,"['rerp', 'trrp', 'trgas', 'trgad', 'remk', 'trmk']",2,3,94,2012000,59.94375944137573,0.6695592403411865,60.61331868171692,160.05 MMac
43,"['rp', 'gas', 'regas', 'gad', 'regad', 'mk', 'ctwav']",3,2,53,2061694,69.2097544670105,0.7612006664276123,69.97095513343811,61.02 MMac
44,"['rp', 'gad', 'trmk']",2,2,81,1083016,30.050110816955566,0.48091888427734375,30.53102970123291,84.74 MMac
45,"['rerp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",3,3,19,401727,27.615272998809814,0.9904627799987793,28.605735778808594,12.9 MMac
46,"['rp', 'trrp', 'gad', 'regad', 'trgad', 'mk', 'trmk']",2,3,48,537662,32.79993534088135,0.5752387046813965,33.375174045562744,44.57 MMac
47,"['rp', 'gas', 'regad', 'trgad', 'remk', 'trmk']",4,1,27,1391707,37.071025371551514,0.36571669578552246,37.436742067337036,14.79 MMac
48,"['rerp', 'trrp', 'regas', 'trgas', 'gad', 'mk', 'ctwav']",2,3,68,1064967,28.04267406463623,0.37282490730285645,28.415498971939087,86.39 MMac
49,"['rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'trmk']",4,1,14,352924,16.793811321258545,0.6729950904846191,17.466806411743164,4.47 MMac
50,"['rerp', 'trgas', 'regad', 'mk', 'remk', 'trmk']",2,2,35,219260,14.905810356140137,0.5165917873382568,15.422402143478394,18.72 MMac
51,"['rp', 'rerp', 'regad', 'mk', 'ctwav']",3,1,44,836299,32.14068412780762,0.6014275550842285,32.742111682891846,25.03 MMac
52,"['regas', 'trgas', 'trgad', 'mk', 'trmk']",2,2,66,711316,24.43864345550537,0.3082716464996338,24.746915102005005,57.21 MMac
53,"['rp', 'rerp', 'trrp', 'gas', 'gad', 'regad', 'remk', 'ctwav']",3,3,22,485480,22.246694564819336,0.5501246452331543,22.79681921005249,15.64 MMac
54,"['gas', 'trgas', 'regad', 'trgad', 'ctwav']",3,2,15,186202,15.463972091674805,0.4232196807861328,15.887191772460938,6.13 MMac
55,"['rp', 'rerp', 'trrp', 'regas', 'gad', 'mk', 'remk', 'trmk']",2,1,59,362087,8.170878887176514,0.25286388397216797,8.423742771148682,31.13 MMac
56,"['trrp', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",3,1,36,567713,25.353407859802246,0.39542078971862793,25.748828649520874,18.58 MMac
57,"['rp', 'rerp', 'regas', 'gad', 'regad', 'trgad', 'remk', 'trmk']",2,1,28,85647,8.126401901245117,0.305281400680542,8.43168330192566,8.39 MMac
58,"['trgas', 'gad', 'remk', 'ctwav']",2,1,93,845884,16.63498878479004,0.3115220069885254,16.946510791778564,65.96 MMac
59,"['trrp', 'regas', 'trgas', 'regad', 'trmk']",2,1,20,43357,8.991813659667969,0.39697813987731934,9.388791799545288,4.14 MMac
60,"['rp', 'trrp', 'gas', 'regas', 'trgas', 'trgad', 'mk']",2,1,16,30302,8.374834060668945,0.4434792995452881,8.818313360214233,3.28 MMac
61,"['rerp', 'gas', 'regas', 'gad', 'mk', 'remk']",2,1,25,72093,9.190738201141357,0.46061086654663086,9.651349067687988,6.78 MMac
62,"['rp', 'gas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,1,87,768836,14.961504936218262,0.45117831230163574,15.412683248519897,64.76 MMac
63,"['rp', 'trgas', 'mk', 'trmk', 'ctwav']",3,2,21,347810,18.950045108795166,0.5638678073883057,19.51391291618347,10.93 MMac
64,"['rerp', 'trrp', 'gas', 'regas', 'gad', 'regad', 'trgad', 'remk']",2,1,63,410034,9.540176391601562,0.4215066432952881,9.96168303489685,34.96 MMac
65,"['rp', 'trrp', 'gas', 'trgas', 'gad', 'remk', 'trmk', 'ctwav']",3,1,42,768843,30.22298812866211,0.5509271621704102,30.77391529083252,24.52 MMac
66,"['rerp', 'gas', 'trgad', 'trmk', 'ctwav']",3,1,51,1164321,28.0733585357666,0.4980945587158203,28.571453094482422,34.28 MMac
67,"['rp', 'gas', 'regas', 'trgas', 'regad']",2,2,71,844526,31.50787353515625,0.5503666400909424,32.05824017524719,67.58 MMac
68,"['rerp', 'trrp', 'gad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",3,3,29,894578,55.61931133270264,0.8248898983001709,56.44420123100281,27.74 MMac
69,"['rp', 'rerp', 'trrp', 'trgas', 'gad', 'trgad', 'mk']",4,1,17,579975,34.43269729614258,0.5528767108917236,34.9855740070343,6.89 MMac
70,"['rp', 'rerp', 'gas', 'trgas', 'trgad', 'remk']",2,2,38,243296,13.697803020477295,0.43584203720092773,14.133645057678223,20.67 MMac
71,"['trrp', 'gas', 'gad']",2,3,52,618659,38.46440315246582,0.6250839233398438,39.089487075805664,49.23 MMac
72,"['mk', 'remk']",4,1,31,1808634,58.12321901321411,0.6489861011505127,58.772205114364624,17.33 MMac
73,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'trmk', 'ctwav']",2,3,75,1340737,50.62376260757446,0.8302338123321533,51.453996419906616,110.77 MMac
74,"['rp', 'rerp', 'trrp', 'regas', 'trgas', 'remk', 'trmk', 'ctwav']",3,1,33,507341,26.389479637145996,0.6041514873504639,26.99363112449646,16.78 MMac
