µ¥ÀÌÅÍ¼Â,HIVE-COTE2,WEASEL2.0,AutoBroad,Arsenal,TDE,DrCIF,STC,TS-CHIEF,ResNet,InceptionTime,OS-CNN,DSN,Broad CycleMLP
50words,83.5,83.29,77.8,82.19,79.12,78.24,74.94,84.27,73.96,84.18,81.6,83.16,52.96
Adiac,80.8,84.39,81.6,77.74,78,82.09,81.58,77.97,82.89,83.63,83.45,85.06,78
ArrowHead,88,85.71,90.85,81.71,88,80.57,69.14,88.11,84.46,82.86,83.77,86.4,82.28
Beef,83.3,83.33,96.66,83.33,80,76.66,83.33,63.22,75.33,70,80.67,82.67,93.3
Beetlefly,95,95,100,90,95,90,80,95.83,85,85,81.5,95,60
BirdChicken,90,90,90,90,95,90,90,96.33,88.5,95,88.5,91,75
Car,90,91.66,96.66,91.66,83.33,88.33,85,87.88,92.5,90,93.33,90.67,95
ChlorineConcentration,75.9,76.66,78.64,78.82,70.1,73.85,75.2,66.08,84.36,87.53,83.87,86.33,78.72
CinCECGtorso,99.9,96.15,99.49,83.91,99.71,100,99.13,95.34,82.61,85.14,82.75,99.2,98.33
CBF,99.9,98,100,100,99.55,99.88,96.55,99.84,99.5,99.89,99.99,98.78,91.77
Coffee,100,100,100,100,100,100,100,99.04,100,100,100,100,100
Computers,76.8,71.6,80,76.4,72,73.6,67.2,75.38,81.48,81.2,70.68,79.84,66
CricketX,83.1,81.28,73.33,80.76,81.79,74.61,79.23,83.04,79.13,86.67,85.51,77.28,68.71
CricketY,85.1,81.02,72.8,84.35,79.48,80.51,77.69,81.7,80.33,85.13,86.72,80.51,69.48
CricketZ,86.2,80.76,72.82,86.15,80.76,81.02,81.02,83.82,81.15,85.9,86.31,77.13,68.46
DiatomsizeReduction,97.4,96.73,100,97.38,89.21,86.27,79.73,94.58,30.13,93.14,97.71,96.99,97.38
DistalPhalanxOutlineAgeGroup,75.5,77.67,77.69,75.53,74.1,74.82,75.53,82.8,71.65,72.66,73.81,84.2,74.82
DistalPhalanxOutlineCOrrect,77.2,78.26,82.24,76.08,71.73,78.62,77.89,81.93,77.1,79.35,76.59,81.13,75.72
